Substation Long Name,Substation Name,Unit Name,Unit Short Name,Node Name,Node/Unit ID,Zone ID,Reserve ID,RSP Area,Dispatch Zone,DRRAZ ID,Latitude,Longitude
BERLIN NH,BERLN_NH,BURGESS BIOPOWER,BURG,UN.BERLN_NH13.8BURG,16653,4002,7000,NH,New Hampshire,7610,44.463,-71.1797
BERLIN NH,BERLN_NH,BERLIN RENEWABLE CSF_GEN,BRLB,UN.BERLN_NH22  BRLB,73290,4002,7000,NH,New Hampshire,7610,44.463,-71.1797
BERLIN NH,BERLN_NH,BERLIN RENEWABLE CSF_ARD,BRLBD,AR.BERLN_NH22  BRLBD,73291,4002,7000,NH,New Hampshire,7610,44.463,-71.1797
BERLIN NH,BERLN_NH,,,LD.BERLN_NH22,4382,4002,7000,NH,New Hampshire,7610,44.463,-71.1797
BERLIN NH,BERLN_NH,,,LD.BERLN_NH34.5,4383,4002,7000,NH,New Hampshire,7610,44.463,-71.1797
BEVERLY,BEVERLY,,,LD.BEVERLY 13.2,10341,4008,7003,BOSTON,North Shore,7609,42.545718,-70.88675
BIDDEFORD,BIDDEFRD,,,LD.BIDDEFRD34.5,4188,4001,7000,SME,Portland Maine,7607,43.467798,-70.492975
BIDDEFORD,BIDDEFRD,,,LD.BIDDEFRD12.5,46609,4001,7000,SME,Portland Maine,7607,43.467798,-70.492975
BIGELOW,BIGELOW,,,LD.BIGELOW 34.5,4153,4001,7000,ME,Maine,7606,45.101612,-70.353645
BIGELOW,BIGELOW,REENERGY STRATTON,STRA,UN.BIGELOW 115 STRA,590,4001,7000,ME,Maine,7606,45.101612,-70.353645
BILLERICA,BILERCA,,,LD.BILERCA 23  T1 LD,4811,4007,7000,CMA/NEMA,Central MA,7616,42.57474,-71.274748
BILLERICA,BILERCA,,,LD.BILERCA 23  T2 LD,4812,4007,7000,BOSTON,Central MA,7616,42.57474,-71.274748
BILLERICA,BILERCA,,,LD.BILERCA 13.2T5 LD,46679,4007,7000,CMA/NEMA,Central MA,7616,42.57474,-71.274748
BILLERICA,BILERCA,,,LD.BILERCA 13.2T6 LD,46753,4007,7000,BOSTON,Central MA,7616,42.57474,-71.274748
BINGHAM,BINGHAM,BINGHAM WIND,BNGW,UN.BINGHAM 34.5BNGW,37105,4001,7000,ME,Maine,7606,45.160446,-69.389022
BIRD ROAD,BIRD_RD,,,LD.BIRD_RD 13.8,42057,4006,7000,SEMA,SEMA,7613,42.05234,-71.177392
BLACKBURN,BLACKBRN,,,LD.BLACKBRN115 1X LD,4813,4005,7000,RI,Rhode Island,7619,41.733002,-71.443263
BLACKBURN,BLACKBRN,,,LD.BLACKBRN115 2X LD,4814,4005,7000,RI,Rhode Island,7619,41.733002,-71.443263
BLACK ROCK,BLACK_RK,,,LD.BLACK_RK4.8,48163,4004,7002,CT,Western CT,7604,41.661956,-72.80545
BLACK ROCK,BLACK_RK,,,LD.BLACK_RK69,48164,4004,7002,CT,Western CT,7604,41.661956,-72.80545
BLACK ROCK,BLACK_RK,NB FUEL CELL,NBFC,UN.BLACK_RK69  NBFC,74366,4004,7002,CT,Western CT,7604,41.661956,-72.80545
BLACK ROCK,BLACK_RK,,,LD.BLACK_RK13.8,4574,4004,7002,CT,Western CT,7604,41.661956,-72.80545
BLAIR POND,BLAIR_PD,,,LD.BLAIR_PD13.8,48165,4008,7003,BOSTON,Boston,7608,42.395599,-71.157303
BLANDFORD,BLANFORD,,,LD.BLANFORD23,4506,4007,7000,WMA,Western MA,7618,42.200308,-72.965451
BLISSVILLE,BLISVILL,,,LD.BLISVILL46,4458,4003,7000,VT,Vermont,7615,43.576178,-73.23302
"BLACKSTONE, MA",BLKSTONE,ANP-BLACKSTONE ENERGY 1,BKS1,UN.BLKSTONE21  BKS1,1286,4006,7000,RI,SEMA,7613,42.059589,-71.513654
"BLACKSTONE, MA",BLKSTONE,ANP-BLACKSTONE ENERGY 2,BKS2,UN.BLKSTONE21  BKS2,1287,4006,7000,RI,SEMA,7613,42.059589,-71.513654
BLOOMINGDALE,BLOMNGDL,,,LD.BLOMNGDL13.8,4319,4007,7000,CMA/NEMA,Central MA,7616,42.270277,-71.763752
BLOOMFIELD,BLOOMFLD,,,LD.BLOOMFLD23,4532,4004,7002,CT,Northern CT,7601,41.8287,-72.728447
BOGGY BROOK,BOGGY_BK,,,LD.BOGGY_BK46,15386,4001,7000,BHE,Bangor Hydro,7605,44.577217,-68.454008
BOKUM,BOKUM,,,LD.BOKUM   27.6,4552,4004,7002,CT,Western CT,7604,41.31832,-72.389936
BOKUM,BOKUM,,,LD.BOKUM   23,74831,4004,7002,CT,Western CT,7604,41.31832,-72.389936
BOWMAN STREET,BOWMN_ST,,,LD.BOWMN_ST34.5,4163,4001,7000,ME,Maine,7606,44.2545,-69.803508
BRIDGEPORT ENERGY,BPT_ENER,BRIDGEPORT ENERGY 1,BHCC,UN.BPT_ENER16  BHCC,1032,4004,7001,SWCT,Western CT,7603,41.1715,-73.1841
BRANCH BROOK,BRANCH,,,LD.BRANCH  34.5,4191,4001,7000,SME,Portland Maine,7607,43.365673,-70.558619
BRANCH BROOK,BRANCH,,,LD.BRANCH  12.5,46610,4001,7000,SME,Portland Maine,7607,43.365673,-70.558619
BRANFORD,BRANFORD,,,LD.BRANFORD23,4555,4004,7001,SWCT,Western CT,7603,41.292761,-72.793731
BRANFORD,BRANFORD,BRANFORD 10,BRAN,UN.BRANFORD23  BRAN,355,4004,7001,SWCT,Western CT,7603,41.292761,-72.793731
BRECKWOOD,BRECKWOD,,,LD.BRECKWOD13.8,4527,4007,7000,WMA,Springfield MA,7617,42.115483,-72.523381
BRENTWOOD,BRENTWOD,,,LD.BRENTWOD34.5,11413,4002,7000,NH,Seacoast,7611,42.983679,-71.083817
BRIDGE STREET,BRIDGE_S,,,LD.BRIDGE_S4.16,47297,4002,7000,NH,New Hampshire,7610,42.7645,-71.453833
BRIDGE STREET,BRIDGE_S,,,LD.BRIDGE_S34.5,4409,4002,7000,NH,New Hampshire,7610,42.7645,-71.453833
BRIGHTON,BRIGHTON,,,LD.BRIGHTON13.8,4103,4008,7003,BOSTON,Boston,7608,42.3573,-71.1318
BRIGHTON,BRIGHTON,MATEP (DIESEL),MAT1,UN.BRIGHTON13.8MAT1,13673,4008,7003,BOSTON,Boston,7608,42.3573,-71.1318
BRIGHTON,BRIGHTON,MATEP (COMBINED CYCLE),MAT2,UN.BRIGHTON13.8MAT2,13675,4008,7003,BOSTON,Boston,7608,42.3573,-71.1318
BRIGHTON,BRIGHTON,MATEP 4,MAT4,UN.BRIGHTON13.8MAT4,75433,4008,7003,BOSTON,Boston,7608,42.3573,-71.1318
BRIGHTON,BRIGHTON,MATEP 5,MAT5,UN.BRIGHTON13.8MAT5,75434,4008,7003,BOSTON,Boston,7608,42.3573,-71.1318
BRIGHTON,BRIGHTON,MATEP 6,MAT6,UN.BRIGHTON13.8MAT6,75435,4008,7003,BOSTON,Boston,7608,42.3573,-71.1318
BRISTOL RI,BRISTLRI,,,LD.BRISTLRI12.5,4295,4005,7000,RI,Rhode Island,7619,41.694576,-71.268442
BRISTOL,BRISTOL,,,LD.BRISTOL 13.8,4571,4004,7002,CT,Western CT,7604,41.671226,-72.940231
BRISTOL,BRISTOL,,,LD.BRISTOL 4.8,49671,4004,7002,CT,Western CT,7604,41.671226,-72.940231
BROADWAY,BROADWAY,,,LD.BROADWAY13.8,4427,4004,7001,SWCT,Western CT,7603,41.314368,-72.933953
BROKEN GROUND,BROKENGD,,,LD.BROKENGD34.5,49421,4002,7000,NH,New Hampshire,7610,43.23975,-71.512153
BROOKLYN,BROOKLYN,,,LD.BROOKLYN23,4554,4004,7002,CT,Eastern CT,7600,41.816754,-71.914692
BROOK STREET,BROOK_ST,,,LD.BROOK_ST23,40058,4006,7000,SEMA,Lower SEMA,7612,41.9657,-70.7668
BROWNS CROSSING,BROWN_CR,,,LD.BROWN_CR12.5,4166,4001,7000,ME,Maine,7606,44.252946,-69.775017
BUCKSPORT,BUCKSPRT,,,LD.BUCKSPRT34.5,46617,4001,7000,BHE,Bangor Hydro,7605,44.5752,-68.8063
BUCKSPORT,BUCKSPRT,BUCKSPORT,BCK4,UN.BUCKSPRT18.0BCK4,47390,4001,7000,BHE,Bangor Hydro,7605,44.5752,-68.8063
BUCK POND,BUCK_PD,,,LD.BUCK_PD 23,4518,4007,7000,WMA,Springfield MA,7617,42.17557,-72.734481
BUDDINGTON,BUDDNGTN,,,LD.BUDDNGTN33.0,4472,4004,7002,CT,Eastern CT,7600,41.373997,-72.045789
BULLS BRIDGE,BULLSBDG,,,LD.BULLSBDG27.6,4590,4004,7001,SWCT,Western CT,7603,41.659038,-73.491288
BULLS BRIDGE,BULLSBDG,BULLS BRIDGE,BULL,UN.BULLSBDG27.6BULL,362,4004,7001,SWCT,Western CT,7603,41.659038,-73.491288
BULL HILL,BULL_HL,BULL HILL WIND,BLHW,UN.BULL_HL 34.5BLHW,40343,4001,7000,BHE,Bangor Hydro,7605,44.722556,-68.163833
BULL HILL,BULL_HL,HANCOCK WIND,HANW,UN.BULL_HL 34.5HANW,48082,4001,7000,BHE,Bangor Hydro,7605,44.722556,-68.163833
BULL HILL,BULL_HL,WEAVER WIND,WEVW,UN.BULL_HL 34.5WEVW,68734,4001,7000,BHE,Bangor Hydro,7605,44.722556,-68.163833
BUNKER HILL,BUNKR_HL,,,LD.BUNKR_HL13.8,4582,4004,7001,SWCT,Western CT,7603,41.564016,-73.086446
BURLINGTON,BURLNGTN,,,LD.BURLNGTN13.8,4106,4008,7003,BOSTON,Boston,7608,42.475381,-71.214285
BURTT ROAD,BURTT_RD,,,LD.BURTT_RD13.2,10033,4008,7003,BOSTON,North Shore,7609,42.602824,-71.168607
CAMPVILLE,CAMPVILL,,,LD.CAMPVILL27.6,4568,4004,7002,CT,Western CT,7604,41.737776,-73.086151
CAMPVILLE,CAMPVILL,LITCHFIELD SOLAR,LITS,UN.CAMPVILL27.6LITS,74830,4004,7002,CT,Western CT,7604,41.737776,-73.086151
CANAL,CANAL,CANAL 3,CAN3,UN.CANAL   25  CAN3,38310,4006,7000,SEMA,Lower SEMA,7612,41.769,-70.51
CANAL,CANAL,CANAL 1,CAN1,UN.CANAL   18.0CAN1,365,4006,7000,SEMA,Lower SEMA,7612,41.769,-70.51
CANAL,CANAL,CANAL 2,CAN2,UN.CANAL   18.0CAN2,366,4006,7000,SEMA,Lower SEMA,7612,41.769,-70.51
CANAL,CANAL_NU,,,LD.CANAL_NU23,4498,4004,7001,SWCT,Western CT,7603,41.573472,-72.901919
CANDLE STREET,CANDLE,,,LD.CANDLE  13.2,16255,4006,7000,SEMA,Lower SEMA,7612,41.282491,-70.096499
CANTON,CANTON,,,LD.CANTON  23,4566,4004,7002,CT,Western CT,7604,41.8382,-72.926697
CARMEL HILL,CARML_HL,,,LD.CARML_HL23,4588,4004,7001,SWCT,Western CT,7603,41.600985,-73.2411
CARVER STREET,CARVR_ST,,,LD.CARVR_ST13.8,4098,4008,7003,BOSTON,Boston,7608,42.3502,-71.0663
CEDAR HEIGHTS,CEDARHTS,,,LD.CEDARHTS13.22X LD,4815,4004,7001,NOR,Norwalk - Stamford,7602,41.106496,-73.555841
CEDAR HEIGHTS,CEDARHTS,,,LD.CEDARHTS13.23X LD,4816,4004,7001,NOR,Norwalk - Stamford,7602,41.106496,-73.555841
CENTECH,CENTECH,,,LD.CENTECH 13.8,46727,4007,7000,CMA/NEMA,Central MA,7616,42.255191,-71.690729
CHALLENGER DRIVE,CHALLENG,,,LD.CHALLENG34.5,10512,4001,7000,ME,Maine,7606,44.068686,-70.186136
CHALLENGER DRIVE,CHALLENG,,,LD.CHALLENG12.5,46624,4001,7000,ME,Maine,7606,44.068686,-70.186136
CHARLOTTE,CHARLOTT,,,LD.CHARLOTT12.5,15411,4003,7000,VT,Northwest Vermont,7614,44.312436,-73.261424
CHASE HILL,CHASE_HL,,,LD.CHASE_HL12.5,46960,4005,7000,RI,Rhode Island,7619,41.412559,-71.769332
CHELSEA,CHELSEA,,,LD.CHELSEA 13.8,11710,4008,7003,BOSTON,Boston,7608,42.3949,-71.0248
CHEMICAL,CHEMICAL,PERC-ORRINGTON 1,PERC,UN.CHEMICAL115 PERC,536,4001,7000,BHE,Bangor Hydro,7605,44.739069,-68.824818
CHESTER,CHESTER,,,LD.CHESTER 34.5,4412,4002,7000,NH,Seacoast,7611,42.936467,-71.237208
CHICOPEE,CHICOPEE,,,LD.CHICOPEE13.8,4524,4007,7000,WMA,Springfield MA,7617,42.167113,-72.593426
CHICOPEE,CHICOPEE,FRONT STREET DIESELS 1-3,FRST,UN.CHICOPEE13.8FRST,421,4007,7000,WMA,Springfield MA,7617,42.167113,-72.593426
CHIPPEN HILL,CHIPINHL,,,LD.CHIPINHL13.8,4570,4004,7002,CT,Western CT,7604,41.682079,-72.986721
CHARTLEY POND,CHRTLYPD,,,LD.CHRTLYPD23,4290,4006,7000,RI,SEMA,7613,41.944876,-71.237133
CHESTER MAINE,CHSTERME,,,LD.CHSTERME46,4077,4001,7000,BHE,Bangor Hydro,7605,45.39729,-68.525677
CHESTER MAINE,CHSTERME,WEST ENFIELD,WENF,UN.CHSTERME46  WENF,616,4001,7000,BHE,Bangor Hydro,7605,45.39729,-68.525677
CHESTNUT HILL,CHSTNTHL,,,LD.CHSTNTHL34.5,4402,4002,7000,VT,New Hampshire,7610,42.797912,-72.482906
CHURCH HILL,CHURCHIL,,,LD.CHURCHIL13.8,4125,4006,7000,SEMA,SEMA,7613,42.2223,-71.0198
CLINTON,CLINTON,,,LD.CLINTON 13.8,4529,4007,7000,WMA,Springfield MA,7617,42.10463,-72.601004
COBBLE MT,COBBLEMT,COBBLE MOUNTAIN,COBB,UN.COBBLEMT69  COBB,379,4007,7000,WMA,Springfield MA,7617,42.117172,-72.865173
COLBURN STREET,COLBURN,,,LD.COLBURN 13.8,10831,4008,7003,BOSTON,Boston,7608,42.331587,-71.110886
COLBURN STREET,COLBURN,MAT3,MAT3,UN.COLBURN 13.8MAT3,14087,4008,7003,BOSTON,Boston,7608,42.331587,-71.110886
COLD RIVER,COLD_RV,,,LD.COLD_RV 46,4470,4003,7000,VT,Vermont,7615,43.565193,-72.94568
COLONY,COLONY,,,LD.COLONY  13.8,4577,4004,7002,CT,Western CT,7604,41.498922,-72.811861
COMERFORD,COMERFRD,,,LD.COMERFRD34.5,4264,4002,7000,NH,New Hampshire,7610,44.31958,-71.993365
COMERFORD,COMERFRD,MCINDOES,MCIN,UN.COMERFRD34.5MCIN,473,4002,7000,NH,New Hampshire,7610,44.31958,-71.993365
COMERFORD,COMERFRD,COMERFORD 1,COM1,UN.COMERFRD13.8COM1,47366,4002,7000,NH,New Hampshire,7610,44.31958,-71.993365
COMERFORD,COMERFRD,COMERFORD 2,COM2,UN.COMERFRD13.8COM2,47367,4002,7000,NH,New Hampshire,7610,44.31958,-71.993365
COMERFORD,COMERFRD,COMERFORD 3,COM3,UN.COMERFRD13.8COM3,47368,4002,7000,NH,New Hampshire,7610,44.31958,-71.993365
COMERFORD,COMERFRD,COMERFORD 4,COM4,UN.COMERFRD13.8COM4,47369,4002,7000,NH,New Hampshire,7610,44.31958,-71.993365
COMPO,COMPO,,,LD.COMPO   13.8,4609,4004,7001,NOR,Norwalk - Stamford,7602,41.121315,-73.360748
COOLIDGE,COOLIDGE,COOLIDGE SOLAR,COLS,UN.COOLIDGE34.5COLS,50815,4003,7000,VT,Vermont,7615,43.429247,-72.660032
CROSS ROAD,CROSS_RD,,,LD.CROSS_RD13.2109A_LD,4823,4006,7000,SEMA,Lower SEMA,7612,41.6493,-71.0082
CROSS ROAD,CROSS_RD,,,LD.CROSS_RD13.2111_LD,4824,4006,7000,SEMA,Lower SEMA,7612,41.6493,-71.0082
CROWLEYS,CROWLEYS,,,LD.CROWLEYS34.5,4173,4001,7000,ME,Maine,7606,44.059499,-70.155111
CROWLEYS,CROWLEYS,,,LD.CROWLEYS12.5,40341,4001,7000,ME,Maine,7606,44.059499,-70.155111
CRYSTAL SPRING,CRYSTLSP,,,LD.CRYSTLSP13.2,4234,4006,7000,SEMA,Lower SEMA,7612,41.673966,-70.832248
CUMBERLAND,CUMBRLND,,,LD.CUMBRLND13.8,4509,4007,7000,WMA,Western MA,7618,42.571615,-72.61729
DARIEN,DARIEN,,,LD.DARIEN  13.2,4608,4004,7001,NOR,Norwalk - Stamford,7602,41.075818,-73.480485
DAVISVILLE,DAVISVIL,,,LD.DAVISVIL34.5T1 LD,4825,4005,7000,RI,Rhode Island,7619,41.59247,-71.43523
DAVISVILLE,DAVISVIL,,,LD.DAVISVIL34.5T2 LD,4826,4005,7000,RI,Rhode Island,7619,41.59247,-71.43523
DEBLOIS,DEBLOIS,,,LD.DEBLOIS 34.5,10178,4001,7000,BHE,Bangor Hydro,7605,44.700424,-67.957027
DEERFLD5,DEERFLD5,DEERFIELD 5,DFL5,UN.DEERFLD569  DFL5,393,4007,7000,WMA,Western MA,7618,42.684,-72.9498
DEERFLD5,DEERFLD5,FIFE BROOK,FIFE,UN.DEERFLD569  FIFE,413,4007,7000,WMA,Western MA,7618,42.684,-72.9498
DEER ISLAND,DEER_ISL,,,LD.DEER_ISL115,4094,4008,7003,BOSTON,Boston,7608,42.3515,-70.9578
DETROIT,DETROIT,,,LD.DETROIT 34.5,4148,4001,7000,ME,Maine,7606,44.792859,-69.362162
DEVON,DEVON,DEVON 10,DV10,UN.DEVON   13.8DV10,396,4004,7001,SWCT,Western CT,7603,41.208111,-73.106889
